qid,pid,score
19335,4510384,0.7340563535690308
19335,1958103,0.731259286403656
19335,441844,0.6865588426589966
19335,2046505,0.6695855259895325
19335,1958102,0.6512147188186646
19335,342431,0.642464816570282
19335,8412682,0.6421862244606018
19335,8199361,0.6311765909194946
19335,3045567,0.6237072944641113
19335,527692,0.6216970086097717
19335,7267243,0.613677978515625
19335,3212083,0.612067461013794
19335,7367402,0.6085391640663147
19335,527697,0.6037040948867798
19335,859341,0.6007363796234131
19335,300888,0.5918005704879761
19335,7267248,0.5894961953163147
19335,210535,0.5878657102584839
19335,7320614,0.5875135660171509
19335,8412683,0.583176851272583
19335,8798988,0.5782570838928223
19335,527690,0.5758400559425354
19335,527695,0.5733036994934082
19335,7763208,0.5732784271240234
19335,3045565,0.5693726539611816
19335,7298839,0.5615702867507935
19335,210536,0.5607590675354004
19335,8412681,0.5586065053939819
19335,2325143,0.5542760491371155
19335,7367407,0.5520742535591125
19335,527698,0.5505151748657227
19335,8677296,0.5356095433235168
19335,342429,0.5336298942565918
19335,6306222,0.5320463180541992
19335,492146,0.5299018025398254
19335,6452949,0.5280312895774841
19335,7007720,0.5267390012741089
19335,1720388,0.5259120464324951
19335,7122355,0.5250959396362305
19335,129765,0.5242170691490173
19335,503735,0.5214933753013611
19335,354224,0.5168022513389587
19335,1958100,0.5162825584411621
19335,3637071,0.513111412525177
19335,503739,0.5128821730613708
19335,6306220,0.5118224024772644
19335,1720389,0.5075786113739014
19335,1731,0.5056272745132446
19335,129762,0.5052780508995056
19335,5870000,0.50441575050354
19335,772234,0.5031113624572754
19335,3445057,0.5026147961616516
19335,3559596,0.5017884373664856
19335,1825418,0.4995155036449432
19335,342427,0.499012142419815
19335,901323,0.4989082515239715
19335,2304004,0.4983739256858825
19335,584350,0.49764484167099
19335,3175484,0.4968187510967254
19335,2382766,0.4961260259151459
19335,1720387,0.4954966902732849
19335,404678,0.4952114522457123
19335,527689,0.4944429993629455
19335,567427,0.4942544400691986
19335,492153,0.4940492212772369
19335,1725,0.4917715489864349
19335,133933,0.4913776814937591
19335,6582809,0.4910660982131958
19335,211275,0.4903693795204162
19335,859347,0.488528311252594
19335,129769,0.4857997000217438
19335,256749,0.4852157235145569
19335,8635981,0.4842073917388916
19335,577193,0.484052836894989
19335,1720395,0.4831496477127075
19335,440370,0.4826501011848449
19335,2874503,0.4818934202194214
19335,253398,0.4811278581619262
19335,3489287,0.4810711145401001
19335,723850,0.4802720248699188
19335,566450,0.4795503616333008
19335,7460276,0.4793579280376434
19335,152032,0.4774266183376312
19335,2304005,0.4764792025089264
19335,6894788,0.4750331044197082
19335,354223,0.4743420481681824
19335,256750,0.473885715007782
19335,7961908,0.4736710488796234
19335,516240,0.4735381007194519
19335,129767,0.4719527959823608
19335,8677293,0.469863623380661
19335,691500,0.468908429145813
19335,129764,0.468321144580841
19335,763110,0.4668158292770386
19335,4480942,0.4667559266090393
19335,584358,0.4661497473716736
19335,527694,0.4657874703407287
19335,763113,0.4657853245735168
19335,210538,0.4654461145401001
19335,808453,0.4649342000484466
47923,8641107,0.8129211068153381
47923,8418681,0.7535919547080994
47923,8641104,0.7089299559593201
47923,476983,0.7074946165084839
47923,5147527,0.7025497555732727
47923,473807,0.6951678395271301
47923,6241147,0.6922591328620911
47923,8421421,0.6835697889328003
47923,3630935,0.6808838844299316
47923,6191,0.676313579082489
47923,1681336,0.6706873774528503
47923,5417582,0.6660985946655273
47923,473809,0.6637873649597168
47923,1681332,0.6420662999153137
47923,1681337,0.6387039422988892
47923,6241151,0.6336066722869873
47923,6643066,0.6326465010643005
47923,525513,0.6207470297813416
